tempo,entidade,variavel,valor,cenario
11,barra_16,PS,0.096041,0
12,barra_16,PS,0.0,0
13,barra_16,PS,0.0,0
14,barra_16,PS,0.027046051,0
15,barra_16,PS,0.0,0
16,barra_16,PS,0.0,0
17,barra_16,PS,0.0,0
18,barra_16,PS,0.013614429,0
19,barra_16,PS,0.0,0
20,barra_16,PS,0.013190893,0
21,barra_16,PS,0.0,0
22,barra_16,PS,0.0,0
23,barra_16,PS,0.0,0
24,barra_16,PS,0.0,0
1,barra_17,PS,0.0,0
2,barra_17,PS,0.0,0
3,barra_17,PS,0.0,0
4,barra_17,PS,0.0,0
5,barra_17,PS,0.0,0
6,barra_17,PS,0.0,0
7,barra_17,PS,0.0,0
8,barra_17,PS,0.0,0
9,barra_17,PS,0.0,0
10,barra_17,PS,0.0,0
11,barra_17,PS,0.0,0
12,barra_17,PS,0.0,0
13,barra_17,PS,0.0,0
14,barra_17,PS,0.0,0
15,barra_17,PS,0.0,0
16,barra_17,PS,0.0,0
17,barra_17,PS,0.0,0
18,barra_17,PS,0.0,0
19,barra_17,PS,0.0,0
20,barra_17,PS,0.0,0
21,barra_17,PS,0.0,0
22,barra_17,PS,0.0,0
23,barra_17,PS,0.0,0
24,barra_17,PS,0.0,0
1,barra_18,PS,0.0,0
2,barra_18,PS,0.0,0
3,barra_18,PS,0.0,0
4,barra_18,PS,0.0,0
5,barra_18,PS,0.0,0
6,barra_18,PS,0.0,0
7,barra_18,PS,0.0,0
8,barra_18,PS,0.0,0
9,barra_18,PS,0.0,0
10,barra_18,PS,0.0,0
11,barra_18,PS,0.0,0
12,barra_18,PS,0.0,0
13,barra_18,PS,0.0,0
14,barra_18,PS,0.0,0
15,barra_18,PS,0.0,0
16,barra_18,PS,0.0,0
17,barra_18,PS,0.0,0
18,barra_18,PS,0.0,0
19,barra_18,PS,0.0,0
20,barra_18,PS,0.0,0
21,barra_18,PS,0.0,0
22,barra_18,PS,0.0,0
23,barra_18,PS,0.0,0
24,barra_18,PS,0.0,0
1,barra_19,PS,0.0,0
2,barra_19,PS,0.0,0
3,barra_19,PS,0.0,0
4,barra_19,PS,0.0,0
5,barra_19,PS,0.0,0
6,barra_19,PS,0.0,0
7,barra_19,PS,0.0,0
8,barra_19,PS,0.0,0
9,barra_19,PS,0.0,0
10,barra_19,PS,0.0,0
11,barra_19,PS,0.0,0
12,barra_19,PS,0.0,0
13,barra_19,PS,0.0,0
14,barra_19,PS,0.0,0
15,barra_19,PS,0.0,0
16,barra_19,PS,0.0,0
17,barra_19,PS,0.0,0
18,barra_19,PS,0.0,0
19,barra_19,PS,0.0,0
20,barra_19,PS,0.0,0
21,barra_19,PS,0.0,0
22,barra_19,PS,0.0,0
23,barra_19,PS,0.0,0
24,barra_19,PS,0.0,0
1,barra_20,PS,0.0,0
2,barra_20,PS,0.035325852,0
3,barra_20,PS,0.039109419,0
4,barra_20,PS,0.0,0
5,barra_20,PS,0.0,0
6,barra_20,PS,0.0,0
7,barra_20,PS,0.0,0
8,barra_20,PS,0.0,0
9,barra_20,PS,0.096202409,0
10,barra_20,PS,0.096437,0
11,barra_20,PS,0.0,0
12,barra_20,PS,0.037347766,0
13,barra_20,PS,0.0,0
14,barra_20,PS,0.045343517,0
15,barra_20,PS,0.0,0
16,barra_20,PS,0.0,0
17,barra_20,PS,0.0003498998,0
18,barra_20,PS,0.044274733,0
19,barra_20,PS,0.0,0
20,barra_20,PS,0.0,0
21,barra_20,PS,0.0,0
22,barra_20,PS,0.0,0
23,barra_20,PS,0.0,0
24,barra_20,PS,0.062666533,0
1,barra_21,PS,0.0,0
2,barra_21,PS,0.0,0
3,barra_21,PS,0.0,0
4,barra_21,PS,0.120783,0
5,barra_21,PS,0.0,0
6,barra_21,PS,0.0,0
7,barra_21,PS,0.104228,0
8,barra_21,PS,0.0,0
9,barra_21,PS,0.098709,0
10,barra_21,PS,0.096437,0
11,barra_21,PS,0.0,0
12,barra_21,PS,0.0,0
13,barra_21,PS,0.09411,0
14,barra_21,PS,0.0,0
15,barra_21,PS,0.0,0
16,barra_21,PS,0.0,0
17,barra_21,PS,0.100575,0
18,barra_21,PS,0.0,0
19,barra_21,PS,0.0,0
20,barra_21,PS,0.0,0
21,barra_21,PS,0.124458,0
22,barra_21,PS,0.128807,0
23,barra_21,PS,0.0,0
24,barra_21,PS,0.0,0
1,barra_22,PS,0.0,0
2,barra_22,PS,0.118028,0
3,barra_22,PS,0.119916,0
4,barra_22,PS,0.0,0
5,barra_22,PS,0.119611,0
6,barra_22,PS,0.0,0
7,barra_22,PS,0.0,0
8,barra_22,PS,0.102265,0
9,barra_22,PS,0.0,0
10,barra_22,PS,0.0,0
11,barra_22,PS,0.096041,0
12,barra_22,PS,0.0,0
13,barra_22,PS,0.0,0
14,barra_22,PS,0.0,0
15,barra_22,PS,0.0,0
16,barra_22,PS,0.0,0
17,barra_22,PS,0.0,0
18,barra_22,PS,0.0,0
19,barra_22,PS,0.119811,0
20,barra_22,PS,0.123239,0
21,barra_22,PS,0.124458,0
22,barra_22,PS,0.0,0
23,barra_22,PS,0.0,0
24,barra_22,PS,0.131671,0
1,barra_23,PS,0.0,0
2,barra_23,PS,0.118028,0
3,barra_23,PS,0.0,0
4,barra_23,PS,0.0,0
5,barra_23,PS,0.119611,0
6,barra_23,PS,0.11276,0
7,barra_23,PS,0.0,0
8,barra_23,PS,0.102265,0
9,barra_23,PS,0.098709,0
10,barra_23,PS,0.094587891,0
11,barra_23,PS,0.0,0
12,barra_23,PS,0.0,0
13,barra_23,PS,0.0,0
14,barra_23,PS,0.0,0
15,barra_23,PS,0.0,0
16,barra_23,PS,0.086539433,0
17,barra_23,PS,0.0,0
18,barra_23,PS,0.0,0
19,barra_23,PS,0.0,0
20,barra_23,PS,0.0,0
21,barra_23,PS,0.0,0
22,barra_23,PS,0.0,0
23,barra_23,PS,0.0,0
24,barra_23,PS,0.131671,0
1,barra_24,PS,0.0,0
2,barra_24,PS,0.0,0
3,barra_24,PS,0.0,0
4,barra_24,PS,0.120783,0
5,barra_24,PS,0.0,0
6,barra_24,PS,0.0,0
7,barra_24,PS,0.0,0
8,barra_24,PS,0.094659395,0
9,barra_24,PS,0.0,0
10,barra_24,PS,0.0,0
11,barra_24,PS,0.0,0
12,barra_24,PS,0.0,0
13,barra_24,PS,0.0,0
14,barra_24,PS,0.0,0
15,barra_24,PS,0.0,0
16,barra_24,PS,0.0,0
17,barra_24,PS,0.032493721,0
18,barra_24,PS,0.0,0
19,barra_24,PS,0.119811,0
20,barra_24,PS,0.0,0
21,barra_24,PS,0.124458,0
22,barra_24,PS,0.128807,0
23,barra_24,PS,0.131972,0
24,barra_24,PS,0.0,0
1,barra_25,PS,0.0,0
2,barra_25,PS,0.0,0
3,barra_25,PS,0.0,0
4,barra_25,PS,0.0,0
5,barra_25,PS,0.0,0
6,barra_25,PS,0.0135,0
7,barra_25,PS,0.054,0
8,barra_25,PS,0.1125,0
9,barra_25,PS,0.2025,0
10,barra_25,PS,0.2925,0
11,barra_25,PS,0.36,0
12,barra_25,PS,0.414,0
13,barra_25,PS,0.45,0
14,barra_25,PS,0.432,0
15,barra_25,PS,0.378,0
16,barra_25,PS,0.2925,0
17,barra_25,PS,0.171,0
18,barra_25,PS,0.0675,0
19,barra_25,PS,0.0135,0
20,barra_25,PS,0.0,0
21,barra_25,PS,0.0,0
22,barra_25,PS,0.0,0
23,barra_25,PS,0.0,0
24,barra_25,PS,0.0,0
1,barra_26,PS,0.115425,0
2,barra_26,PS,0.0,0
3,barra_26,PS,0.119916,0
4,barra_26,PS,0.0,0
5,barra_26,PS,0.119611,0
6,barra_26,PS,0.11276,0
7,barra_26,PS,0.104228,0
8,barra_26,PS,0.0,0
9,barra_26,PS,0.0,0
10,barra_26,PS,0.0,0
11,barra_26,PS,0.0,0
12,barra_26,PS,0.0,0
13,barra_26,PS,0.0,0
14,barra_26,PS,0.0,0
15,barra_26,PS,0.0,0
16,barra_26,PS,0.0,0
17,barra_26,PS,0.0,0
18,barra_26,PS,0.0,0
19,barra_26,PS,0.0,0
20,barra_26,PS,0.123239,0
21,barra_26,PS,0.0,0
22,barra_26,PS,0.0,0
23,barra_26,PS,0.131972,0
24,barra_26,PS,0.131671,0
1,barra_27,PS,0.115425,0
2,barra_27,PS,0.118028,0
3,barra_27,PS,0.0,0
4,barra_27,PS,0.120783,0
5,barra_27,PS,0.119611,0
6,barra_27,PS,0.11276,0
7,barra_27,PS,0.104228,0
8,barra_27,PS,0.102265,0
9,barra_27,PS,0.0,0
10,barra_27,PS,0.0,0
11,barra_27,PS,0.0,0
12,barra_27,PS,0.0,0
13,barra_27,PS,0.0,0
14,barra_27,PS,0.0,0
15,barra_27,PS,0.0,0
16,barra_27,PS,0.0,0
17,barra_27,PS,0.100575,0
18,barra_27,PS,0.107194,0
19,barra_27,PS,0.119811,0
20,barra_27,PS,0.123239,0
21,barra_27,PS,0.124458,0
22,barra_27,PS,0.128807,0
23,barra_27,PS,0.0,0
24,barra_27,PS,0.0,0
1,barra_28,PS,0.0,0
2,barra_28,PS,0.0,0
3,barra_28,PS,0.0,0
4,barra_28,PS,0.0,0
5,barra_28,PS,0.0,0
6,barra_28,PS,0.064669672,0
7,barra_28,PS,0.0,0
8,barra_28,PS,0.0,0
9,barra_28,PS,0.098709,0
10,barra_28,PS,0.0,0
11,barra_28,PS,0.0,0
12,barra_28,PS,0.086848027,0
13,barra_28,PS,0.081453463,0
14,barra_28,PS,0.0,0
15,barra_28,PS,0.0,0
16,barra_28,PS,0.037456877,0
17,barra_28,PS,0.0,0
18,barra_28,PS,0.0,0
19,barra_28,PS,0.0,0
20,barra_28,PS,0.0,0
21,barra_28,PS,0.0,0
22,barra_28,PS,0.0,0
23,barra_28,PS,0.0,0
24,barra_28,PS,0.0,0
1,barra_29,PS,0.0,0
2,barra_29,PS,0.0,0
3,barra_29,PS,0.0,0
4,barra_29,PS,0.0,0
5,barra_29,PS,0.0,0
6,barra_29,PS,0.0,0
7,barra_29,PS,0.0,0
8,barra_29,PS,0.0,0
9,barra_29,PS,0.0,0
10,barra_29,PS,0.0,0
